Label,Total_Energy_kWh,Holiday
2018/2/28-14,5.510000000000001,False
2018/2/28-15,12.04,False
2018/2/28-16,8.0,False
2018/2/28-17,7.95,False
2018/2/28-18,5.44,False
2018/2/28-19,3.69,False
2018/2/28-20,5.68,False
2018/2/28-21,5.68,False
2018/2/28-22,5.68,False
2018/2/28-23,3.12,False
2018/3/1-6,2.88,False
2018/3/1-7,7.06,False
2018/3/1-8,10.05,False
2018/3/1-9,10.05,False
2018/3/1-10,2.29,False
2018/3/1-11,1.2,False
2018/3/1-12,0.77,False
2018/3/1-13,2.3,False
2018/3/1-14,6.1899999999999995,False
2018/3/1-16,5.22,False
2018/3/1-17,1.53,False
2018/3/1-18,11.4,False
2018/3/1-19,12.13,False
2018/3/1-20,8.35,False
2018/3/1-21,2.6,False
2018/3/2-11,0.2,False
2018/3/2-12,6.0,False
2018/3/2-13,2.2,False
2018/3/2-14,0.98,False
2018/3/2-15,4.989999999999999,False
2018/3/2-16,1.71,False
2018/3/2-17,7.279999999999999,False
2018/3/2-18,13.260000000000002,False
2018/3/2-19,15.11,False
2018/3/2-20,5.7,False
2018/3/2-21,2.59,False
2018/3/3-8,0.08,False
2018/3/3-9,2.35,False
2018/3/3-10,5.199999999999999,False
2018/3/3-11,6.949999999999999,False
2018/3/3-12,0.25,False
2018/3/3-13,0.49,False
2018/3/3-14,1.58,False
2018/3/3-17,9.7,False
2018/3/3-18,16.75,False
2018/3/3-19,14.87,False
2018/2/20-9,4.25,False
2018/2/20-10,8.489999999999998,False
2018/2/20-11,12.330000000000002,False
2018/2/20-12,15.96,False
2018/2/20-13,9.100000000000001,False
2018/2/20-14,4.49,False
2018/2/20-15,3.34,False
2018/2/20-16,1.05,False
2018/2/20-17,2.86,False
2018/2/20-18,4.68,False
2018/2/20-19,5.28,False
2018/2/20-20,5.28,False
2018/2/20-21,2.36,False
2018/2/21-7,1.89,False
2018/2/21-8,2.5,False
2018/2/21-9,6.4,False
2018/2/21-10,12.45,False
2018/2/21-11,4.65,False
2018/2/21-12,4.44,False
2018/2/21-13,6.38,False
2018/2/21-14,4.15,False
2018/2/21-15,6.84,False
2018/2/21-16,8.2,False
2018/2/21-17,0.67,False
2018/2/21-19,3.87,False
2018/2/21-20,6.28,False
2018/2/21-21,6.28,False
2018/2/21-22,6.28,False
2018/2/21-23,0.96,False
2018/2/22-6,2.2199999999999998,False
2018/2/22-7,8.54,False
2018/2/22-8,8.58,False
2018/2/22-9,19.8,False
2018/2/22-10,17.040000000000003,False
2018/2/22-11,13.5,False
2018/2/22-12,17.91,False
2018/2/22-13,12.629999999999999,False
2018/2/22-14,11.84,False
2018/2/22-15,8.879999999999999,False
2018/2/22-16,4.91,False
2018/2/22-17,6.76,False
2018/2/22-18,0.36,False
2018/2/23-7,0.26,False
2018/2/23-8,7.71,False
2018/2/23-9,13.77,False
2018/2/23-10,13.540000000000001,False
2018/2/23-11,3.83,False
2018/2/23-12,10.55,False
2018/2/23-13,9.61,False
