value,prediction
0.34,7.1155715
0.0,0.9863797
0.0,0.15371503
11.8,7.32319
1.31,8.759504
7.0699997,9.553656
13.800001,9.791654
13.02,9.701959
3.7200003,9.328308
12.67,8.706645
5.25,7.8619494
0.0,6.8134203
1.1099999,5.603912
0.0,0.7642366
3.69,3.4696195
0.0,2.7106822
0.0,1.843224
0.0,0.8385708
0.0,0.16667812
0.0,0.66951823
0.0,1.9279292
0.0,3.2467182
0.0,4.64707
0.0,5.993333
7.39,7.198035
0.0,1.1750824
0.0,0.031252854
16.23,7.6632223
11.16,8.951062
9.360001,9.862114
27.79,10.116599
21.23,10.035766
20.460001,9.679593
20.84,9.067052
13.59,8.214841
