value,prediction
3.81,0.38546914
2.01,4.5788994
0.69,2.9663782
5.8900003,1.4659319
9.900001,0.22899526
3.81,-0.6866637
3.81,0.5780085
3.81,1.8064948
4.03,3.181256
14.589999,4.6754417
31.720001,6.174267
38.33,7.548529
11.9,-0.2542303
11.9,-0.7825187
29.66,7.4588127
38.72,9.534869
49.44,10.661287
40.94,11.055107
37.039997,10.9725895
36.8,10.554961
28.380001,9.847771
32.99,8.857887
20.25,7.5896444
26.029999,6.0750384
11.9,-0.05650893
14.09,3.0418403
6.01,2.1264198
6.01,1.0183173
1.0999999,-0.031644545
11.9,-0.7692402
8.68,-0.22625361
6.01,0.9202585
6.01,2.3102617
10.65,3.913427
24.539999,5.60077
19.689999,7.2289596
0.0,-0.44573376
0.0,-1.0768473
38.36,7.3910937
19.58,9.523058
16.46,10.812635
17.78,11.342307
17.98,11.3578
21.03,11.0069
20.140001,10.346585
20.78,9.389857
28.58,8.141141
22.87,6.6260266
0.0,0.33362815
8.49,3.745663
5.28,2.501688
3.7499998,1.3188775
3.42,0.22696397
0.0,-0.5249481
0.0,0.08748582
0.0,1.1389346
1.24,2.5546343
18.14,4.1898603
30.509998,5.9121723
38.54,7.5765786
3.42,-0.15777561
3.42,-0.81609255
26.49,7.8071003
17.36,9.982759
20.98,11.304561
24.17,11.853702
15.41,11.889791
17.9,11.563199
19.84,10.92877
24.21,9.996723
18.42,8.766734
22.9,7.254846
3.42,0.80019724
13.23,4.222751
9.360001,2.9371684
4.5499997,1.7131728
5.46,0.578578
3.42,-0.20680353
3.42,0.39042255
3.42,1.4442401
5.8900003,2.873956
8.84,4.5314
17.46,6.2816634
24.97,7.9789767
0.0,0.1860402
0.0,-0.5041014
4.11,8.260578
15.059999,10.481761
14.6,11.830233
12.69,12.394245
5.91,12.449561
0.0,12.147727
0.0,11.540943
0.0,10.637283
0.0,9.432938
2.96,7.935374
0.0,1.3389608
6.13,4.758967
6.13,3.4296978
6.13,2.157016
6.13,0.9717958
0.0,0.14464541
0.0,0.7213645
0.0,1.7753929
0.78000003,3.2182515
7.4199996,4.8978853
12.7699995,6.6773987
7.4999995,8.409308
11.46,0.57336783
12.17,-0.15018657
21.619999,8.744986
33.81,11.01343
46.45,12.381773
57.059998,12.95629
48.36,13.029606
29.999998,12.75265
17.68,12.174552
16.53,11.302009
15.5,10.1293125
13.49,8.657353
9.82,1.9528519
10.509999,5.3578825
10.509999,3.9848652
10.509999,2.6562855
5.6,1.4110092
6.04,0.53110087
6.04,1.0805317
6.04,2.1319325
8.55,3.5868495
7.8799996,5.288904
9.62,7.0989203
13.610001,8.867076
0.63,1.0063357
6.29,0.24463019
17.04,9.261184
19.630001,11.576177
16.25,12.954918
15.93,13.534673
3.18,13.624267
3.05,13.371516
8.61,12.822039
9.37,11.981904
10.85,10.845136
18.449999,9.408676
6.29,2.6418884
9.360001,6.021598
3.0,4.6085553
2.19,3.2186148
1.58,1.9026656
1.82,0.9556484
0.0,1.4687741
0.0,2.5136542
2.53,3.979191
11.76,5.703934
12.49,7.5458417
17.599998,9.351707
5.9300003,-0.098812126
5.29,-1.0113392
25.14,7.684248
32.550003,9.54137
33.33,10.85755
